Gen,Fuente,Prioridad
B4DPM2,QuickGO_GO:0007599,4
B2R780,QuickGO_GO:0007599,4
B2R7F8,QuickGO_GO:0007599,4
B2R8B5,QuickGO_GO:0007599,4
B2R8Y9,QuickGO_GO:0007599,4
B2R9U4,QuickGO_GO:0007599,4
B2RBZ5,QuickGO_GO:0007599,4
B2RE67,QuickGO_GO:0007599,4
CPB2,QuickGO_GO:0007596,4
VAV1,QuickGO_GO:0007596,4
DGKH,QuickGO_GO:0007596,4
